Industry_code_NZSIOC,Variable_name,Value,Year,Industry_name_NZSIOC,Units
99999,Total income,930995,2023,All industries,Dollars (millions)
99999,Total income,930995,2023,All industries,Dollars
99999,Total income,930995,2023,All industries,Percentage
99999,"Sales, government funding, grants and subsidies",821630,2023,All industries,Dollars (millions)
99999,"Sales, government funding, grants and subsidies",821630,2023,All industries,Dollars
99999,"Sales, government funding, grants and subsidies",821630,2023,All industries,Percentage
99999,"Interest, dividends and donations",84354,2023,All industries,Dollars (millions)
99999,"Interest, dividends and donations",84354,2023,All industries,Dollars
99999,"Interest, dividends and donations",84354,2023,All industries,Percentage
99999,Non-operating income,25010,2023,All industries,Dollars (millions)
99999,Non-operating income,25010,2023,All industries,Dollars
99999,Non-operating income,25010,2023,All industries,Percentage
99999,Total expenditure,832964,2023,All industries,Dollars (millions)
99999,Total expenditure,832964,2023,All industries,Dollars
99999,Total expenditure,832964,2023,All industries,Percentage
99999,Interest and donations,55267,2023,All industries,Dollars (millions)
99999,Interest and donations,55267,2023,All industries,Dollars
99999,Interest and donations,55267,2023,All industries,Percentage
99999,Indirect taxes,7426,2023,All industries,Dollars (millions)
99999,Indirect taxes,7426,2023,All industries,Dollars
99999,Indirect taxes,7426,2023,All industries,Percentage
99999,Depreciation,30814,2023,All industries,Dollars (millions)
99999,Depreciation,30814,2023,All industries,Dollars
99999,Depreciation,30814,2023,All industries,Percentage
99999,Salaries and wages paid,147663,2023,All industries,Dollars (millions)
99999,Salaries and wages paid,147663,2023,All industries,Dollars
99999,Salaries and wages paid,147663,2023,All industries,Percentage
99999,Redundancy and severance,269,2023,All industries,Dollars (millions)
99999,Redundancy and severance,269,2023,All industries,Dollars
99999,Redundancy and severance,269,2023,All industries,Percentage
99999,Salaries and wages to self employed commission agents,1639,2023,All industries,Dollars (millions)
99999,Salaries and wages to self employed commission agents,1639,2023,All industries,Dollars
99999,Salaries and wages to self employed commission agents,1639,2023,All industries,Percentage
99999,Purchases and other operating expenses,566979,2023,All industries,Dollars (millions)
99999,Purchases and other operating expenses,566979,2023,All industries,Dollars
99999,Purchases and other operating expenses,566979,2023,All industries,Percentage
